lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
acre,noun,C1,octanove,783,business_office,no,,,783
convict,verb,C1,octanove,791,business_office,no,,,791
convict,noun,C1,octanove,791,business_office,no,,,791
align,verb,C1,octanove,820,business_office,no,,,820
sentiment,noun,C1,octanove,837,business_office,no,,,837
estimation,noun,C1,octanove,846,business_office,no,,,846
bribe,verb,C1,octanove,857,business_office,no,,,857
bribe,noun,C1,octanove,857,business_office,no,,,857
loom,verb,C1,octanove,948,business_office,no,,,948
faction,noun,C1,octanove,957,business_office,no,,,957
mutually,adverb,C1,octanove,1013,business_office,no,,,1013
speculative,adjective,C1,octanove,1021,business_office,no,,,1021
retention,noun,C1,octanove,1044,business_office,no,,,1044
buffer,verb,C1,octanove,1068,business_office,no,,,1068
buffer,noun,C1,octanove,1068,business_office,no,,,1068
formulate,verb,C1,octanove,1071,business_office,no,,,1071
verdict,noun,C1,octanove,1086,business_office,no,,,1086
inclusion,noun,C1,octanove,1115,business_office,no,,,1115
hostility,noun,C1,octanove,1124,business_office,no,,,1124
portray,verb,C1,octanove,1138,business_office,no,,,1138
slack,verb,C1,octanove,1155,business_office,no,,,1155
slack,noun,C1,octanove,1155,business_office,no,,,1155
slack,adjective,C1,octanove,1155,business_office,no,,,1155
simplicity,noun,C1,octanove,1180,business_office,no,,,1180
succession,noun,C1,octanove,1184,business_office,no,,,1184
flourish,noun,C1,octanove,1189,business_office,no,,,1189
flourish,verb,C1,octanove,1189,business_office,no,,,1189
notable,adjective,C1,octanove,1196,business_office,no,,,1196
bureaucratic,adjective,C1,octanove,1218,business_office,no,,,1218
obscure,verb,C1,octanove,1254,business_office,no,,,1254
obscure,adjective,C1,octanove,1254,business_office,no,,,1254
elaborate,adjective,C1,octanove,1258,business_office,no,,,1258
elaborate,verb,C1,octanove,1258,business_office,no,,,1258
turmoil,noun,C1,octanove,1272,business_office,no,,,1272
wary,adjective,C1,octanove,1274,business_office,no,,,1274
credible,adjective,C1,octanove,1276,business_office,no,,,1276
premier,adjective,C1,octanove,1319,business_office,no,,,1319
premier,noun,C1,octanove,1319,business_office,no,,,1319
elastic,noun,C1,octanove,1358,business_office,no,,,1358
elastic,adjective,C1,octanove,1358,business_office,no,,,1358
salvage,verb,C1,octanove,1369,business_office,no,,,1369
reap,verb,C1,octanove,1405,business_office,no,,,1405
synthetic,adjective,C1,octanove,1454,business_office,no,,,1454
endorsement,noun,C1,octanove,1475,business_office,no,,,1475
prop,verb,C1,octanove,1479,business_office,no,,,1479
prop,noun,C1,octanove,1479,business_office,no,,,1479
manipulation,noun,C1,octanove,1509,business_office,no,,,1509
exert,verb,C1,octanove,1521,business_office,no,,,1521
assertion,noun,C1,octanove,1570,business_office,no,,,1570
speculate,verb,C1,octanove,1577,business_office,no,,,1577
plague,verb,C1,octanove,1587,business_office,no,,,1587
precision,noun,C1,octanove,1604,business_office,no,,,1604
